"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.02.2024","20.840","20.860","21.140","20.750","206.25K","-0.10%"
"01.01.2024","20.860","20.960","21.920","20.090","396.83K","-0.48%"
"01.12.2023","20.960","19.480","21.400","19.330","67.39M","8.54%"
"01.11.2023","19.310","19.188","20.587","19.188","5.02M","-0.21%"
"01.10.2023","19.350","19.930","20.700","19.230","4.27M","-1.23%"
"01.09.2023","19.590","21.070","21.190","19.320","15.30M","-6.71%"
"01.08.2023","21.000","21.599","21.639","20.630","11.07M","-4.33%"
"01.07.2023","21.950","21.620","22.750","21.450","62.58M","1.90%"
"01.06.2023","21.540","22.300","23.050","21.250","20.63M","-2.84%"
"01.05.2023","22.170","23.680","24.254","21.820","5.71M","-6.38%"
"01.04.2023","23.680","23.769","24.254","23.066","2.81M","-0.29%"
"01.03.2023","23.749","23.719","24.611","22.977","8.25M","1.17%"
"01.02.2023","23.474","24.248","24.582","22.543","2.97M","-3.85%"
"01.01.2023","24.415","23.102","24.601","22.935","4.20M","6.45%"
"01.12.2022","22.935","22.925","23.484","22.415","16.39M","0.34%"
"01.11.2022","22.857","23.756","24.111","22.700","4.17M","-3.79%"
"01.10.2022","23.756","23.465","23.756","22.340","21.12M","1.24%"
"01.09.2022","23.465","22.738","23.843","22.350","14.87M","2.76%"
"01.08.2022","22.835","22.397","23.258","21.943","10.85M","2.48%"
"01.07.2022","22.283","21.087","23.430","21.039","4.70M","3.83%"
"01.06.2022","21.460","22.789","22.789","19.461","13.67M","-6.15%"
"01.05.2022","22.866","21.678","23.889","21.527","3.79M","5.85%"
"01.04.2022","21.602","22.577","23.760","21.300","5.22M","-3.43%"
"01.03.2022","22.369","21.871","24.323","21.773","16.25M","2.27%"
"01.02.2022","21.871","21.048","23.734","20.898","30.12M","5.18%"
"01.01.2022","20.795","22.274","22.292","20.318","29.89M","-3.81%"
"01.12.2021","21.619","20.308","21.899","19.915","15.38M","6.60%"
"01.11.2021","20.280","23.216","23.420","20.121","12.17M","-12.01%"
"01.10.2021","23.049","23.994","24.485","21.048","15.70M","-2.24%"
"01.09.2021","23.577","22.716","24.207","22.317","23.84M","2.87%"
"01.08.2021","22.920","21.439","23.438","21.063","5.29M","7.74%"
"01.07.2021","21.274","20.495","23.115","19.964","10.90M","5.07%"
"01.06.2021","20.248","21.677","22.895","19.973","9.95M","-6.55%"
"01.05.2021","21.668","21.508","22.254","21.191","7.72M","-0.18%"
"01.04.2021","21.708","23.005","23.822","20.891","34.85M","-6.20%"
"01.03.2021","23.142","23.368","23.849","22.279","19.57M","-0.51%"
"01.02.2021","23.260","22.053","23.595","21.336","21.61M","4.78%"
"01.01.2021","22.198","22.407","23.822","20.601","21.95M","0.58%"
"01.12.2020","22.071","21.563","23.087","20.419","18.29M","1.93%"
"01.11.2020","21.653","17.415","23.305","17.134","16.07M","24.27%"
"01.10.2020","17.424","18.377","19.484","17.070","32.79M","-5.23%"
"01.09.2020","18.386","18.876","19.448","16.254","19.09M","-1.60%"
"01.08.2020","18.686","19.493","21.826","18.196","23.24M","-3.79%"
"01.07.2020","19.421","19.620","21.082","18.250","16.29M","-2.01%"
"01.06.2020","19.820","18.495","21.780","18.159","33.91M","6.59%"
"01.05.2020","18.595","17.243","19.448","16.608","19.16M","10.04%"
"01.04.2020","16.898","17.805","18.958","15.455","40.63M","-4.22%"
"01.03.2020","17.642","25.038","25.519","14.838","42.29M","-29.39%"
"01.02.2020","24.984","26.735","27.089","24.049","21.04M","-5.10%"
"01.01.2020","26.327","26.109","27.679","25.429","15.15M","1.15%"
"01.12.2019","26.028","26.028","26.790","25.429","25.45M","-0.17%"
"01.11.2019","26.073","26.243","26.360","25.229","19.30M","-0.17%"
"01.10.2019","26.117","24.749","26.909","24.119","38.56M","5.64%"
"01.09.2019","24.722","23.912","26.072","23.849","20.12M","3.23%"
"01.08.2019","23.948","23.035","24.470","22.368","31.33M","3.53%"
"01.07.2019","23.132","23.115","23.995","21.078","21.51M","2.36%"
"01.06.2019","22.599","21.469","23.141","21.211","31.48M","5.92%"
"01.05.2019","21.336","24.299","24.413","21.176","16.72M","-12.60%"
"01.04.2019","24.413","24.325","24.827","23.506","15.80M","0.11%"
"01.03.2019","24.387","24.109","24.827","22.846","15.71M","1.15%"
"01.02.2019","24.109","24.039","25.319","22.312","13.25M","0.62%"
"01.01.2019","23.960","20.418","24.547","20.383","26.08M","17.65%"
"01.12.2018","20.365","20.944","22.355","19.287","8.07M","-3.29%"
"01.11.2018","21.058","23.273","24.635","19.769","15.10M","-9.01%"
"01.10.2018","23.143","26.318","26.768","22.494","8.47M","-11.77%"
"01.09.2018","26.231","27.598","27.685","25.236","8.20M","-4.05%"
"01.08.2018","27.339","26.506","28.974","25.915","16.08M","4.12%"
"01.07.2018","26.258","25.221","26.558","24.673","10.18M","3.86%"
"01.06.2018","25.281","26.164","26.464","25.127","11.85M","-3.09%"
"01.05.2018","26.087","27.440","28.177","25.752","22.33M","-8.45%"
"01.04.2018","28.494","25.881","28.700","25.273","49.94M","10.10%"
"01.03.2018","25.881","25.988","26.978","24.975","7.07M","-0.18%"
"01.02.2018","25.929","26.269","27.248","24.609","13.04M","-1.46%"
"01.01.2018","26.312","25.733","27.674","25.460","10.15M","0.95%"
"01.12.2017","26.065","26.448","27.248","25.290","11.45M","-3.44%"
"01.11.2017","26.993","26.995","27.674","26.211","10.24M","-1.49%"
"01.10.2017","27.400","26.303","27.417","25.468","17.45M","4.14%"
"01.09.2017","26.312","26.152","27.164","25.418","19.23M","-0.06%"
"01.08.2017","26.329","26.655","27.830","25.570","23.45M","-0.45%"
"01.07.2017","26.447","27.230","27.497","26.005","11.05M","-2.88%"
"01.06.2017","27.230","27.213","27.922","25.847","10.33M","0.06%"
"01.05.2017","27.213","26.871","28.330","26.755","15.66M","1.27%"
"01.04.2017","26.871","25.324","28.749","25.324","21.28M","4.77%"
"01.03.2017","25.647","25.127","26.540","25.127","21.77M","0.14%"
"01.02.2017","25.612","25.464","26.244","24.675","11.14M","-0.45%"
"01.01.2017","25.727","24.766","26.696","23.706","26.90M","-0.22%"
"01.12.2016","25.784","25.883","27.090","24.232","9.82M","-2.09%"
"01.11.2016","26.335","28.269","29.379","24.322","16.37M","-6.79%"
"01.10.2016","28.253","28.089","29.306","27.567","12.12M","-1.76%"
"01.09.2016","28.759","28.212","29.387","27.518","8.03M","1.94%"
"01.08.2016","28.212","27.622","30.449","27.322","7.26M","2.14%"
"01.07.2016","27.622","27.045","28.710","26.794","41.99M","2.25%"
