"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.01.2024","52.00","52.00","52.00","52.00","1.06K","0.00%"
"01.11.2023","52.00","54.89","55.04","51.71","6.18K","-5.02%"
"01.08.2023","54.75","54.75","54.75","54.75","11.43K","-0.46%"
"01.07.2023","55.00","53.99","55.00","53.99","5.53K","1.87%"
"01.06.2023","53.99","51.00","53.99","48.50","16.57K","4.98%"
"01.05.2023","51.43","49.61","54.00","49.61","16.07K","3.34%"
"01.04.2023","49.77","50.98","50.98","49.52","11.05K","-2.96%"
"01.03.2023","51.29","54.51","54.71","51.29","15.07K","-3.67%"
"01.02.2023","53.24","51.76","53.24","51.76","5.18K","-0.48%"
"01.01.2023","53.50","54.25","55.60","53.50","7.32K","0.00%"
"01.12.2022","53.50","53.50","53.50","53.50","14.53K","4.70%"
"01.11.2022","51.10","53.24","53.24","49.99","26.26K","-3.12%"
"01.10.2022","52.75","56.73","58.72","52.74","13.04K","-10.17%"
"01.09.2022","58.72","59.71","60.93","58.72","6.39K","-3.25%"
"01.08.2022","60.69","58.32","60.71","58.32","8.30K","4.78%"
"01.07.2022","57.92","57.72","57.92","52.75","225.39K","0.34%"
"01.06.2022","57.72","53.94","57.72","52.74","484.71K","5.65%"
"01.05.2022","54.64","55.98","56.13","53.29","13.56K","-1.53%"
"01.04.2022","55.48","57.47","57.47","54.49","12.79K","0.00%"
"01.03.2022","55.48","56.20","57.46","53.50","37.04K","-1.28%"
