"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.02.2024","26.84","26.67","26.90","26.67","8.33K","0.64%"
"01.01.2024","26.67","26.50","26.90","26.00","95.88K","0.64%"
"01.12.2023","26.50","27.73","28.00","26.49","585.76K","-4.19%"
"01.11.2023","27.66","26.54","29.00","26.53","364.29K","4.38%"
"01.10.2023","26.50","26.56","27.00","26.00","300.00K","0.00%"
"01.09.2023","26.50","26.56","27.75","26.45","540.36K","-0.71%"
"01.08.2023","26.69","27.00","27.05","26.20","1.07M","-0.41%"
"01.07.2023","26.80","27.38","27.90","26.68","1.58M","-1.65%"
"01.06.2023","27.25","27.65","28.08","27.01","1.46M","-2.50%"
"01.05.2023","27.95","27.25","28.15","26.64","651.27K","2.57%"
"01.04.2023","27.25","26.86","27.30","26.50","3.15M","1.49%"
"01.03.2023","26.85","27.27","27.65","26.19","1.10M","-1.38%"
"01.02.2023","27.23","26.54","27.77","25.46","656.17K","2.58%"
"01.01.2023","26.54","25.66","26.74","24.97","1.33M","3.59%"
"01.12.2022","25.62","25.13","26.47","24.44","33.99M","2.75%"
"01.11.2022","24.93","25.03","25.28","24.53","1.14M","-0.39%"
"01.10.2022","25.03","25.52","25.81","24.21","7.98M","-1.35%"
"01.09.2022","25.37","26.48","27.25","24.93","791.10K","-4.21%"
"01.08.2022","26.49","24.67","26.90","23.19","1.15M","7.49%"
"01.07.2022","24.64","24.36","24.98","23.92","11.16M","1.15%"
"01.06.2022","24.36","23.96","25.24","23.63","8.49M","1.68%"
"01.05.2022","23.96","24.48","24.72","22.72","902.16K","-2.14%"
"01.04.2022","24.48","24.53","26.53","24.34","11.40M","-1.34%"
"01.03.2022","24.81","23.63","25.38","23.44","14.96M","5.61%"
"01.02.2022","23.50","24.21","24.68","22.97","746.44K","-3.00%"
"01.01.2022","24.22","24.21","24.68","23.66","2.21M","0.12%"
"01.12.2021","24.19","24.53","25.06","23.70","1.36M","-1.33%"
"01.11.2021","24.52","24.99","25.37","24.42","2.76M","-1.90%"
"01.10.2021","24.99","26.48","26.95","22.54","11.00M","-5.61%"
"01.09.2021","26.48","26.23","27.52","26.03","2.93M","0.94%"
"01.08.2021","26.23","25.81","27.51","25.77","890.19K","1.21%"
"01.07.2021","25.92","26.20","26.20","25.33","4.75M","0.54%"
"01.06.2021","25.78","25.83","26.37","25.53","5.32M","0.59%"
"01.05.2021","25.63","25.98","26.67","25.35","2.89M","-0.50%"
"01.04.2021","25.76","25.26","25.99","25.06","6.84M","2.47%"
"01.03.2021","25.14","25.88","26.61","24.59","14.24M","-0.95%"
"01.02.2021","25.38","25.30","27.09","24.63","3.88M","1.03%"
"01.01.2021","25.12","24.42","26.42","24.42","3.38M","2.22%"
"01.12.2020","24.57","23.50","26.39","22.78","1.17M","5.22%"
"01.11.2020","23.35","22.79","24.12","22.34","4.76M","2.87%"
"01.10.2020","22.70","22.96","23.23","22.25","18.42M","-1.32%"
"01.09.2020","23.01","21.85","23.25","21.68","2.59M","5.31%"
"01.08.2020","21.85","22.25","22.93","21.46","5.47M","-1.75%"
"01.07.2020","22.24","21.61","23.23","21.25","21.65M","2.53%"
"01.06.2020","21.69","18.39","22.77","18.21","25.23M","17.88%"
"01.05.2020","18.40","16.75","18.87","16.38","12.61M","9.83%"
"01.04.2020","16.75","17.51","18.79","16.02","9.60M","-8.69%"
"01.03.2020","18.34","21.53","23.80","16.65","5.76M","-14.78%"
"01.02.2020","21.53","23.98","24.07","21.06","5.97M","-10.28%"
"01.01.2020","23.99","23.87","24.90","22.44","45.16M","1.49%"
"01.12.2019","23.64","24.47","24.88","23.21","12.43M","-3.25%"
"01.11.2019","24.43","20.89","24.47","20.78","37.67M","16.93%"
"01.10.2019","20.90","20.22","21.89","19.40","27.08M","3.40%"
"01.09.2019","20.21","17.35","20.60","17.18","59.89M","16.52%"
"01.08.2019","17.35","15.36","17.35","15.27","12.51M","9.92%"
"01.07.2019","15.78","15.52","16.06","14.83","4.05M","1.80%"
"01.06.2019","15.50","15.45","16.49","14.29","5.31M","0.89%"
"01.05.2019","15.36","15.81","15.81","15.16","6.86M","-2.80%"
"01.04.2019","15.81","14.90","15.86","14.46","33.82M","6.23%"
"01.03.2019","14.88","13.90","15.02","12.82","6.90M","7.01%"
"01.02.2019","13.90","13.70","14.03","12.88","6.10M","1.49%"
"01.01.2019","13.70","13.77","14.31","12.60","3.17M","-0.67%"
"01.12.2018","13.79","11.79","13.84","10.89","6.63M","18.05%"
"01.11.2018","11.68","13.64","14.15","10.59","6.60M","-13.92%"
"01.10.2018","13.57","14.78","15.55","13.36","31.86M","-6.87%"
"01.09.2018","14.57","14.10","15.29","13.87","8.64M","3.80%"
"01.08.2018","14.04","14.10","14.81","13.76","14.54M","-1.19%"
"01.07.2018","14.21","14.04","15.13","13.81","22.88M","1.32%"
"01.06.2018","14.02","14.29","15.05","13.58","38.52M","-1.70%"
"01.05.2018","14.27","15.00","15.32","13.58","35.52M","-4.87%"
"01.04.2018","15.00","15.12","15.88","14.29","48.01M","-0.84%"
"01.03.2018","15.12","15.49","15.72","13.89","33.90M","-3.35%"
