"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.02.2024","19.35","19.30","19.35","19.29","10.10K","0.26%"
"01.01.2024","19.30","19.50","19.70","17.05","3.30K","-1.03%"
"01.12.2023","19.50","19.83","19.84","18.42","591.54K","-1.71%"
"01.11.2023","19.84","19.90","19.90","19.11","642.06K","-0.30%"
"01.10.2023","19.90","19.91","19.91","19.50","318.13K","-0.05%"
"01.09.2023","19.91","19.95","19.96","19.00","294.39K","-0.35%"
"01.08.2023","19.98","20.16","20.16","19.00","539.30K","-1.43%"
"01.07.2023","20.27","20.00","20.35","19.80","116.06K","1.25%"
"01.06.2023","20.02","19.50","20.50","18.99","760.48K","2.67%"
"01.05.2023","19.50","19.49","19.60","19.46","2.78M","0.05%"
"01.04.2023","19.49","19.56","19.60","19.49","271.55K","-0.41%"
"01.03.2023","19.57","19.08","19.71","19.06","91.63K","2.56%"
"01.02.2023","19.08","18.99","19.11","16.15","5.23M","0.41%"
"01.01.2023","19.00","18.91","19.10","18.91","494.70K","1.56%"
"01.12.2022","18.71","18.91","19.10","18.52","1.17M","-1.08%"
"01.11.2022","18.91","18.81","18.93","18.81","432.40K","2.16%"
"01.08.2022","18.52","18.52","18.52","18.52","3.86M","0.66%"
"01.03.2022","18.39","18.39","18.39","18.39","473.69K","3.09%"
"01.01.2022","17.84","17.84","17.84","17.84","2.63M","0.00%"
