"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.02.2024","15.930","15.880","15.990","15.880","26.10K","0.31%"
"01.01.2024","15.880","15.630","16.500","15.600","5.92K","1.60%"
"01.12.2023","15.630","16.000","16.080","15.410","4.36M","-2.31%"
"01.11.2023","16.000","16.840","17.990","15.950","351.14K","-4.02%"
"01.10.2023","16.670","16.870","16.870","15.990","47.53K","0.73%"
"01.09.2023","16.550","17.000","17.000","15.980","843.32K","-2.30%"
"01.08.2023","16.940","16.560","17.350","16.300","248.28K","2.29%"
"01.07.2023","16.560","16.720","17.000","16.000","151.28K","-2.47%"
"01.06.2023","16.980","16.590","17.600","16.590","7.03M","2.91%"
"01.05.2023","16.500","16.500","17.000","16.400","112.53K","-0.60%"
"01.04.2023","16.600","16.710","16.930","16.450","1.06M","-1.13%"
"01.03.2023","16.790","16.880","17.710","16.450","171.37K","-0.06%"
"01.02.2023","16.800","17.180","17.190","16.500","133.18K","-1.18%"
"01.01.2023","17.000","17.490","17.650","17.000","120.59K","-2.80%"
"01.12.2022","17.490","18.000","18.240","16.110","359.33K","-2.40%"
"01.11.2022","17.920","18.680","18.840","17.720","231.71K","-3.91%"
"01.10.2022","18.650","18.280","18.700","18.010","77.71K","2.47%"
"01.09.2022","18.200","18.500","18.780","17.960","181.96K","-2.31%"
"01.08.2022","18.630","18.710","19.200","18.190","444.85K","-0.11%"
"01.07.2022","18.650","18.950","18.950","18.250","185.64K","-0.53%"
"01.06.2022","18.750","19.500","19.500","18.150","219.67K","-3.60%"
"01.05.2022","19.450","19.500","19.500","18.920","4.78M","-0.26%"
"01.04.2022","19.500","19.010","19.700","19.010","36.26K","0.00%"
"01.03.2022","19.500","19.030","19.500","18.120","1.18M","2.25%"
"01.02.2022","19.070","18.990","19.370","17.880","7.00M","0.37%"
"01.01.2022","19.000","20.110","20.110","18.520","1.37M","-7.99%"
"01.12.2021","20.650","20.850","21.200","19.040","763.52K","1.42%"
"01.11.2021","20.360","21.200","21.200","20.000","2.99M","-4.59%"
"01.10.2021","21.340","20.910","21.850","20.800","157.64K","5.12%"
"01.09.2021","20.300","19.950","20.300","19.520","2.87M","0.00%"
"01.08.2021","20.300","20.500","20.560","19.620","399.59K","-0.98%"
"01.07.2021","20.500","19.900","20.500","19.420","5.28M","3.54%"
"01.06.2021","19.800","20.190","20.650","19.070","6.03M","-2.46%"
"01.05.2021","20.300","19.500","20.500","19.300","2.33M","1.91%"
"01.04.2021","19.920","19.220","20.000","19.000","158.77K","0.20%"
"01.03.2021","19.880","20.200","20.200","18.990","968.41K","-1.58%"
"01.02.2021","20.200","20.600","21.000","19.600","5.51M","-3.12%"
"01.01.2021","20.850","19.680","21.900","19.680","2.80M","2.71%"
"01.12.2020","20.300","19.210","20.850","18.450","3.95M","5.51%"
"01.11.2020","19.240","17.200","19.450","17.150","532.00K","8.76%"
"01.10.2020","17.690","16.910","17.900","16.700","3.75M","1.09%"
"01.09.2020","17.500","17.100","19.990","16.690","985.42K","-0.85%"
"01.08.2020","17.650","17.000","17.890","16.700","9.36M","3.34%"
"01.07.2020","17.080","16.890","17.800","16.500","1.42M","0.95%"
"01.06.2020","16.920","15.910","18.700","15.500","13.56M","5.29%"
"01.05.2020","16.070","15.670","18.010","14.610","17.14M","1.13%"
"01.04.2020","15.890","16.660","17.000","14.010","5.06M","-5.92%"
"01.03.2020","16.890","18.900","19.980","14.600","7.06M","-8.16%"
"01.02.2020","18.390","19.970","20.000","16.500","6.26M","-6.08%"
"01.01.2020","19.580","20.530","21.000","18.650","4.26M","-4.30%"
"01.12.2019","20.460","20.010","22.010","19.200","10.00M","2.25%"
"01.11.2019","20.010","19.000","20.500","18.460","11.89M","6.66%"
"01.10.2019","18.760","19.120","19.750","18.000","5.85M","-2.19%"
"01.09.2019","19.180","18.440","21.420","18.010","3.76M","3.68%"
"01.08.2019","18.500","17.220","20.000","16.520","17.03M","4.34%"
"01.07.2019","17.730","17.400","19.150","17.000","11.30M","2.07%"
"01.06.2019","17.370","16.720","18.700","16.000","8.90M","3.83%"
"01.05.2019","16.730","17.700","17.900","16.400","9.40M","-4.18%"
"01.04.2019","17.460","16.500","18.000","16.350","20.62M","4.80%"
"01.03.2019","16.660","14.070","17.000","13.500","29.42M","18.16%"
"01.02.2019","14.100","13.250","14.500","12.600","34.76M","5.78%"
"01.01.2019","13.330","13.920","15.590","13.000","9.88M","-5.06%"
"01.12.2018","14.040","12.990","14.500","12.000","35.17M","9.26%"
"01.11.2018","12.850","15.000","15.650","12.600","17.30M","-14.33%"
"01.10.2018","15.000","16.590","16.590","14.890","10.56M","-8.87%"
"01.09.2018","16.460","17.670","17.730","16.150","5.86M","-6.85%"
"01.08.2018","17.670","17.200","19.070","17.010","31.62M","0.86%"
"01.07.2018","17.520","16.370","17.590","15.570","17.79M","7.16%"
"01.06.2018","16.350","15.050","16.940","14.860","27.54M","8.93%"
"01.05.2018","15.010","17.500","17.770","14.250","22.68M","-14.42%"
"01.04.2018","17.540","17.200","17.840","16.430","4.71M","2.81%"
"01.03.2018","17.060","18.150","18.190","16.910","17.30M","-2.29%"
"01.02.2018","17.460","19.290","19.400","16.900","4.78M","-8.44%"
"01.01.2018","19.070","19.110","19.990","18.040","3.67M","1.49%"
"01.12.2017","18.790","18.660","19.580","17.500","24.03M","0.75%"
"01.11.2017","18.650","19.490","19.970","18.030","10.96M","-4.31%"
"01.10.2017","19.490","21.040","22.040","18.830","23.97M","-7.59%"
"01.09.2017","21.090","22.110","22.290","20.000","33.93M","-5.55%"
"01.08.2017","22.330","22.610","23.610","21.700","19.71M","-2.19%"
"01.07.2017","22.830","22.710","23.890","22.340","11.68M","0.57%"
"01.06.2017","22.700","22.320","23.610","21.500","72.24M","1.84%"
"01.05.2017","22.290","22.780","24.000","22.000","19.64M","-2.49%"
"01.04.2017","22.860","22.550","23.500","22.230","15.89M","1.83%"
"01.03.2017","22.450","22.990","23.050","21.560","62.91M","-2.14%"
"01.02.2017","22.940","22.170","23.200","21.510","30.04M","3.94%"
"01.01.2017","22.070","23.390","23.390","21.110","25.73M","-5.03%"
"01.12.2016","23.240","24.300","24.480","22.120","20.90M","-4.28%"
"01.11.2016","24.280","27.000","27.500","24.000","26.97M","-10.24%"
"01.10.2016","27.050","26.990","28.000","26.500","23.26M","0.45%"
"01.09.2016","26.930","26.950","27.300","26.500","22.41M","0.52%"
"01.08.2016","26.790","27.000","27.000","26.000","18.99M","-0.30%"
"01.07.2016","26.870","25.050","27.300","24.970","11.26M","6.84%"
"01.06.2016","25.150","24.800","25.490","24.800","10.51M","1.09%"
"01.05.2016","24.880","24.900","25.250","24.500","13.41M","-0.48%"
"01.04.2016","25.000","24.550","25.940","24.250","19.29M","1.87%"
"01.03.2016","24.540","24.750","25.040","23.410","12.21M","-0.81%"
"01.02.2016","24.740","25.200","25.980","24.410","9.78M","-1.83%"
"01.01.2016","25.200","25.050","25.980","24.630","9.89M","0.48%"
"01.12.2015","25.080","25.740","26.050","24.770","4.12M","-2.18%"
"01.11.2015","25.640","25.840","26.280","24.510","9.77M","-0.81%"
"01.10.2015","25.850","26.000","26.500","25.290","3.49M","-0.46%"
"01.09.2015","25.970","26.750","27.000","25.800","2.94M","-3.81%"
"01.08.2015","27.000","27.000","27.550","25.900","5.34M","0.04%"
"01.07.2015","26.990","26.150","27.010","25.810","2.44M","3.53%"
"01.06.2015","26.070","25.750","26.400","25.200","4.44M","1.09%"
"01.05.2015","25.790","26.400","26.990","24.000","5.51M","-2.20%"
"01.04.2015","26.370","25.740","26.400","24.400","6.77M","2.41%"
"01.03.2015","25.750","26.390","26.500","25.350","15.02M","-2.76%"
"01.02.2015","26.480","26.520","27.000","24.500","46.38M","-1.56%"
"01.01.2015","26.900","24.900","27.500","24.500","13.89M","9.39%"
"01.12.2014","24.590","24.800","24.990","23.420","3.86M","-1.21%"
