"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.02.2024","2.25","2.25","2.25","2.25","1.05K","0.00%"
"01.01.2024","2.25","2.00","2.25","1.93","0.55K","12.50%"
"01.12.2023","2.00","1.91","2.01","1.87","89.09K","4.71%"
"01.11.2023","1.91","2.07","2.07","1.91","18.39K","-5.45%"
"01.10.2023","2.02","2.02","2.09","2.00","29.23K","0.00%"
"01.09.2023","2.02","2.00","2.02","1.98","33.16K","0.50%"
"01.08.2023","2.01","1.97","2.06","1.82","115.43K","2.03%"
"01.07.2023","1.97","1.92","1.99","1.90","29.26K","2.07%"
"01.06.2023","1.93","1.98","1.99","1.93","67.88K","-2.03%"
"01.05.2023","1.97","2.00","2.00","1.70","50.71K","-1.50%"
"01.04.2023","2.00","2.42","2.42","1.96","48.65K","-17.01%"
"01.03.2023","2.41","2.45","2.45","2.25","86.98K","-1.63%"
"01.02.2023","2.45","2.75","2.75","2.45","60.90K","-10.91%"
"01.01.2023","2.75","2.49","2.75","2.40","349.18K","9.56%"
"01.12.2022","2.51","2.44","2.53","2.37","74.07K","2.87%"
"01.11.2022","2.44","2.54","2.54","2.40","29.49K","-4.69%"
"01.10.2022","2.56","2.47","2.69","2.42","36.74K","4.07%"
"01.09.2022","2.46","2.64","2.65","2.40","54.19K","-6.46%"
"01.08.2022","2.63","2.56","2.90","2.50","131.37K","5.20%"
"01.07.2022","2.50","2.76","2.76","2.50","43.68M","-9.42%"
"01.06.2022","2.76","2.70","2.76","2.68","21.87K","2.99%"
"01.05.2022","2.68","2.69","2.74","2.58","27.66K","2.68%"
"01.04.2022","2.61","2.61","2.61","2.53","4.48K","0.00%"
"01.03.2022","2.61","2.82","2.82","2.61","14.01K","-10.31%"
"01.02.2022","2.91","2.94","3.04","2.91","12.20K","2.11%"
"01.01.2022","2.85","3.20","3.20","2.85","23.72K","-10.94%"
"01.12.2021","3.20","3.20","3.55","3.01","32.40K","-3.03%"
"01.11.2021","3.30","3.30","3.35","3.30","7.16K","-1.49%"
"01.10.2021","3.35","3.65","4.46","3.30","555.55K","-8.22%"
"01.09.2021","3.65","3.75","3.81","3.65","270.82K","-1.08%"
"01.08.2021","3.69","3.18","3.75","3.18","67.74K","12.45%"
"01.07.2021","3.28","3.79","3.88","3.20","50.54K","-12.89%"
"01.06.2021","3.77","3.94","3.94","3.52","167.19K","-2.42%"
"01.05.2021","3.86","4.04","4.04","3.72","41.63K","-4.98%"
"01.04.2021","4.06","4.17","4.19","3.82","163.58K","-1.64%"
"01.03.2021","4.13","4.38","4.40","3.93","447.84K","-5.52%"
"01.02.2021","4.37","4.76","4.76","4.21","197.35K","-8.21%"
"01.01.2021","4.76","4.79","5.14","4.35","66.18K","2.57%"
"01.12.2020","4.64","5.25","5.33","4.52","214.57K","-12.71%"
"01.11.2020","5.32","4.47","5.32","4.20","50.16K","17.62%"
"01.10.2020","4.52","4.48","4.66","4.35","111.09K","1.28%"
"01.09.2020","4.47","4.57","4.61","4.06","4.13M","0.64%"
"01.08.2020","4.44","4.44","4.84","4.42","2.58M","-1.25%"
"01.07.2020","4.49","4.71","4.75","4.43","2.48M","-7.14%"
