"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.02.2024","33.630","33.010","33.940","32.730","1.27M","1.88%"
"01.01.2024","33.010","33.250","34.730","31.930","1.43M","-0.72%"
"01.12.2023","33.250","30.810","33.640","30.000","25.79M","9.59%"
"01.11.2023","30.340","27.940","31.200","27.610","17.22M","8.59%"
"01.10.2023","27.940","29.370","29.470","26.660","25.60M","-4.35%"
"01.09.2023","29.210","32.000","32.830","28.890","19.91M","-8.29%"
"01.08.2023","31.850","32.490","33.150","30.520","23.85M","-1.97%"
"01.07.2023","32.490","30.380","33.190","30.200","16.78M","7.83%"
"01.06.2023","30.130","29.900","32.260","29.290","23.86M","0.40%"
"01.05.2023","30.010","29.700","30.580","28.400","20.51M","1.52%"
"01.04.2023","29.560","28.620","29.990","28.130","20.64M","3.36%"
"01.03.2023","28.600","31.580","32.190","23.500","25.17M","-8.98%"
"01.02.2023","31.420","31.980","33.130","30.540","25.47M","-1.29%"
"01.01.2023","31.830","28.540","32.290","28.540","17.97M","11.92%"
"01.12.2022","28.440","28.940","29.500","27.230","16.62M","-1.25%"
"01.11.2022","28.800","26.430","28.970","25.990","19.68M","9.30%"
"01.10.2022","26.350","24.310","27.940","23.400","17.93M","8.57%"
"01.09.2022","24.270","25.410","26.100","23.500","13.26M","-4.41%"
"01.08.2022","25.390","26.560","27.090","25.010","9.60M","-4.44%"
"01.07.2022","26.570","25.130","26.680","24.280","14.30M","5.73%"
"01.06.2022","25.130","25.830","25.830","22.660","18.63M","-4.19%"
"01.05.2022","26.230","22.540","26.500","21.930","14.42M","16.37%"
"01.04.2022","22.540","23.910","24.350","21.860","11.11M","-5.33%"
"01.03.2022","23.810","24.800","24.820","22.590","8.95M","-3.53%"
"01.02.2022","24.680","24.140","24.990","23.320","8.98M","2.70%"
"01.01.2022","24.030","26.340","27.100","23.000","9.05M","-8.39%"
"01.12.2021","26.230","24.840","26.890","24.070","7.50M","6.11%"
"01.11.2021","24.720","24.580","25.620","23.580","6.05M","0.65%"
"01.10.2021","24.560","24.740","25.610","23.510","23.83M","-0.37%"
"01.09.2021","24.650","25.950","26.500","24.320","12.53M","-5.19%"
"01.08.2021","26.000","24.400","26.240","24.150","18.82M","7.00%"
"01.07.2021","24.300","24.660","25.000","23.600","16.37M","-1.22%"
"01.06.2021","24.600","22.500","24.900","22.440","26.32M","9.82%"
"01.05.2021","22.400","24.080","24.890","21.570","38.13M","-6.82%"
"01.04.2021","24.040","25.490","25.700","23.280","27.46M","-5.69%"
