"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.02.2024","71.020","70.930","71.420","69.070","1.11M","0.13%"
"01.01.2024","70.930","79.684","79.684","68.520","25.53M","-10.45%"
"01.12.2023","79.204","73.289","79.880","72.318","34.92M","7.98%"
"01.11.2023","73.348","63.461","74.564","62.814","125.00M","15.74%"
"01.10.2023","63.373","58.910","65.844","57.615","35.08M","7.77%"
"01.09.2023","58.802","58.871","60.911","57.027","22.38M","0.35%"
"01.08.2023","58.596","60.989","63.000","58.086","18.00M","-3.69%"
"01.07.2023","60.842","62.490","65.668","57.880","20.73M","-2.47%"
"01.06.2023","62.382","57.664","64.354","57.664","14.94M","6.69%"
"01.05.2023","58.468","60.921","61.293","55.918","23.97M","-4.03%"
"01.04.2023","60.921","63.932","66.757","60.205","7.24M","-4.75%"
"01.03.2023","63.961","66.070","69.640","61.117","10.98M","-2.82%"
"01.02.2023","65.815","60.312","69.140","59.165","20.43M","9.57%"
"01.01.2023","60.067","54.908","64.893","54.467","8.75M","9.69%"
"01.12.2022","54.761","58.184","58.831","51.740","17.76M","-6.15%"
"01.11.2022","58.351","49.896","58.753","49.474","17.82M","16.92%"
"01.10.2022","49.906","50.602","51.004","45.972","18.21M","-0.61%"
"01.09.2022","50.210","50.854","54.280","48.174","12.72M","-1.51%"
"01.08.2022","50.982","55.510","56.420","50.316","11.06M","-8.16%"
"01.07.2022","55.510","51.598","57.516","50.864","10.75M","7.60%"
"01.06.2022","51.588","50.522","55.002","46.179","10.06M","2.51%"
"01.05.2022","50.326","53.466","53.466","48.008","8.02M","-6.06%"
"01.04.2022","53.574","51.040","56.401","50.277","7.96M","5.47%"
"01.03.2022","50.796","48.223","54.669","43.039","17.10M","5.40%"
"01.02.2022","48.194","50.395","52.811","45.093","7.90M","-3.97%"
"01.01.2022","50.189","55.657","56.919","47.450","13.75M","-9.71%"
"01.12.2021","55.589","48.116","57.643","45.758","10.74M","17.83%"
"01.11.2021","47.176","46.453","49.309","44.115","4.33M","1.77%"
"01.10.2021","46.355","43.831","48.223","43.068","7.49M","5.73%"
"01.09.2021","43.841","45.494","45.836","42.990","27.93M","-3.74%"
"01.08.2021","45.543","42.755","48.908","41.787","3.52M","6.81%"
"01.07.2021","42.638","43.381","45.739","42.256","4.43M","-1.80%"
"01.06.2021","43.420","45.582","47.930","42.139","6.56M","-4.99%"
"01.05.2021","45.699","42.481","46.590","42.090","6.61M","7.58%"
