"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.02.2024","26.00","26.00","26.00","26.00","19.17K","0.00%"
"01.01.2024","26.00","26.00","26.00","26.00","10.05K","-3.70%"
"01.11.2023","27.00","27.05","27.05","27.00","20.53K","-0.37%"
"01.10.2023","27.10","27.10","27.10","27.10","0.66K","-4.91%"
"01.09.2023","28.50","28.50","28.50","28.50","0.58K","-4.97%"
"01.07.2023","29.99","30.00","30.00","29.99","0.65K","-3.26%"
"01.06.2023","31.00","31.00","31.00","31.00","1.85K","-0.96%"
"01.05.2023","31.30","31.29","31.30","31.29","6.62K","0.00%"
"01.04.2023","31.30","31.20","31.67","31.20","12.76K","0.32%"
"01.03.2023","31.20","31.40","31.40","31.20","16.32K","-0.61%"
"01.02.2023","31.39","31.39","31.39","31.39","34.36K","-0.03%"
"01.01.2023","31.40","31.40","31.40","31.40","0.44K","-0.32%"
"01.12.2022","31.50","31.50","31.50","31.50","0.60K","-1.56%"
"01.09.2022","32.00","31.90","32.00","31.90","0.93K","0.00%"
"01.08.2022","32.00","33.00","33.00","32.00","8.69K","-1.57%"
"01.07.2022","32.51","31.70","33.20","31.70","129.90K","1.63%"
"01.06.2022","31.99","31.99","31.99","31.99","1.48K","0.00%"
"01.05.2022","31.99","31.99","31.99","31.99","20.90K","-0.03%"
"01.04.2022","32.00","34.80","34.80","32.00","1.64K","-8.05%"
"01.03.2022","34.80","33.90","34.90","33.90","27.36K","-0.29%"
"01.02.2022","34.90","35.19","35.19","34.90","1.45K","-0.85%"
"01.01.2022","35.20","36.00","36.00","35.20","1.35K","-0.85%"
"01.12.2021","35.50","35.50","35.50","35.50","1.07K","-2.74%"
"01.11.2021","36.50","36.50","36.50","36.50","0.76K","0.00%"
"01.10.2021","36.50","36.50","36.50","36.50","0.76K","-1.35%"
"01.09.2021","37.00","38.00","38.00","37.00","4.08K","-2.63%"
"01.08.2021","38.00","37.48","38.12","37.48","6.56K","1.39%"
"01.07.2021","37.48","38.50","38.50","37.48","2.99K","-2.65%"
"01.06.2021","38.50","37.00","38.50","37.00","1.36K","4.05%"
"01.05.2021","37.00","37.00","37.00","37.00","1.10K","0.00%"
"01.04.2021","37.00","37.00","37.00","37.00","1.94K","0.00%"
"01.03.2021","37.00","37.00","37.00","35.15","753.70K","0.00%"
"01.02.2021","37.00","37.00","37.00","37.00","2.50K","0.00%"
"01.01.2021","37.00","38.50","38.50","37.00","1.24K","-3.92%"
"01.12.2020","38.51","33.78","38.51","33.78","4.44K","10.60%"
"01.11.2020","34.82","35.89","35.89","34.82","0.86K","-5.89%"
"01.10.2020","37.00","37.00","37.00","37.00","0.27K","0.00%"
"01.09.2020","37.00","37.00","37.00","37.00","21.33K","0.00%"
"01.08.2020","37.00","37.00","37.00","37.00","62.66K","0.00%"
"01.07.2020","37.00","37.00","37.00","37.00","1.00K","0.00%"
