"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.02.2024","9.950","10.000","10.050","9.890","129.45K","-0.50%"
"01.01.2024","10.000","10.360","10.440","9.510","577.83K","-3.47%"
"01.12.2023","10.360","10.640","10.640","9.810","3.04M","-1.15%"
"01.11.2023","10.480","10.572","10.640","10.078","4.61M","-2.06%"
"01.10.2023","10.700","10.690","10.890","10.440","2.79M","0.38%"
"01.09.2023","10.660","10.830","11.000","10.520","1.54M","-1.57%"
"01.08.2023","10.830","10.890","11.000","10.420","1.89M","-0.55%"
"01.07.2023","10.890","10.640","11.140","10.500","1.27M","2.25%"
"01.06.2023","10.650","11.080","11.290","9.500","7.78M","-4.05%"
"01.05.2023","11.100","11.745","11.873","11.080","1.35M","-6.12%"
"01.04.2023","11.824","11.972","12.368","11.626","1.61M","-1.48%"
"01.03.2023","12.002","11.715","13.753","10.973","5.86M","4.48%"
"01.02.2023","11.488","9.805","11.646","9.598","3.46M","16.80%"
"01.01.2023","9.835","9.182","9.895","9.063","3.24M","7.11%"
"01.12.2022","9.182","8.222","9.202","8.064","17.26M","11.54%"
"01.11.2022","8.232","7.876","8.905","7.718","3.31M","4.52%"
"01.10.2022","7.876","8.212","8.232","7.589","1.64M","-4.10%"
"01.09.2022","8.212","8.015","8.262","7.856","640.30K","2.34%"
"01.08.2022","8.024","7.995","8.311","7.648","576.49K","0.12%"
"01.07.2022","8.015","7.470","8.410","7.371","1.23M","8.00%"
"01.06.2022","7.421","8.113","8.113","6.204","3.53M","-9.20%"
"01.05.2022","8.173","8.747","8.747","7.807","1.90M","-6.56%"
"01.04.2022","8.747","7.787","8.776","7.718","2.54M","10.50%"
"01.03.2022","7.916","8.193","8.301","6.778","3.55M","-3.50%"
"01.02.2022","8.203","5.966","8.559","5.640","9.25M","37.48%"
"01.01.2022","5.966","5.679","5.996","5.531","15.50M","5.79%"
"01.12.2021","5.640","5.768","6.382","5.402","34.81M","-1.72%"
"01.11.2021","5.739","5.877","5.937","5.452","35.45M","-1.53%"
"01.10.2021","5.828","6.036","6.263","5.244","3.68M","-3.44%"
"01.09.2021","6.036","6.471","6.679","5.838","2.20M","-6.30%"
"01.08.2021","6.441","5.521","6.511","5.393","8.22M","17.93%"
"01.07.2021","5.462","5.719","6.036","5.442","3.28M","-3.83%"
"01.06.2021","5.679","6.036","6.352","5.640","9.63M","-5.28%"
"01.05.2021","5.996","5.670","6.352","5.590","23.41M","5.76%"
