"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.02.2024","5.300","5.300","5.300","5.250","113.37K","0.00%"
"01.01.2024","5.300","5.100","5.380","4.690","153.84K","3.92%"
"01.12.2023","5.100","5.270","5.350","4.950","3.59M","-3.23%"
"01.11.2023","5.270","5.501","5.521","4.900","3.81M","-5.05%"
"01.10.2023","5.550","5.290","5.600","4.880","3.22M","2.78%"
"01.09.2023","5.400","5.500","5.500","5.330","2.13M","-4.93%"
"01.08.2023","5.680","5.752","5.762","5.440","782.70K","-1.73%"
"01.07.2023","5.780","5.710","5.820","5.560","2.31M","0.87%"
"01.06.2023","5.730","5.763","5.952","5.400","2.24M","-2.88%"
"01.05.2023","5.900","5.670","6.000","5.362","908.96K","3.69%"
"01.04.2023","5.690","5.958","5.998","5.561","232.48K","-4.02%"
"01.03.2023","5.928","6.498","6.507","5.928","165.49K","-8.34%"
"01.02.2023","6.468","5.916","6.517","5.778","22.17M","9.33%"
"01.01.2023","5.916","5.817","6.419","5.423","22.84M","2.04%"
"01.12.2022","5.797","3.944","6.340","3.924","6.18M","48.86%"
"01.11.2022","3.895","3.410","4.240","3.410","2.83M","14.20%"
"01.10.2022","3.410","3.459","3.634","3.264","410.91K","0.00%"
"01.09.2022","3.410","3.323","3.498","3.118","458.47K","2.94%"
"01.08.2022","3.313","3.605","3.605","3.215","383.45K","-8.11%"
"01.07.2022","3.605","3.586","3.751","3.488","1.00M","0.82%"
"01.06.2022","3.576","3.654","3.703","3.342","955.43K","1.94%"
"01.05.2022","3.508","3.254","3.751","3.245","1.93M","7.14%"
"01.04.2022","3.274","3.605","3.654","3.196","812.09K","-9.19%"
"01.03.2022","3.605","3.586","3.625","3.167","739.09K","0.54%"
"01.02.2022","3.586","3.479","3.605","3.323","1.04M","2.79%"
"01.01.2022","3.488","3.060","3.547","2.972","2.39M","14.01%"
"01.12.2021","3.060","3.147","3.215","2.904","3.87M","-3.09%"
"01.11.2021","3.157","3.303","3.362","2.923","1.39M","-4.42%"
"01.10.2021","3.303","3.703","3.712","3.147","2.20M","-10.55%"
"01.09.2021","3.693","3.927","3.976","3.654","553.70K","-5.01%"
"01.08.2021","3.888","4.024","4.024","3.839","220.28K","-2.68%"
"01.07.2021","3.995","4.092","4.200","3.839","549.35K","-2.61%"
"01.06.2021","4.102","3.128","4.852","3.021","7.95M","31.15%"
"01.05.2021","3.128","3.800","3.800","2.894","8.16M","-18.73%"
"01.04.2021","3.849","3.956","3.995","3.703","838.94K","-2.23%"
"01.03.2021","3.937","4.092","4.112","3.859","1.06M","-4.04%"
"01.02.2021","4.102","4.044","4.297","3.898","2.14M","0.96%"
"01.01.2021","4.063","3.995","4.278","3.907","833.41K","2.96%"
"01.12.2020","3.946","4.580","4.706","3.898","1.80M","-15.27%"
"01.11.2020","4.658","4.852","4.872","4.589","159.03K","-4.21%"
"01.10.2020","4.862","4.628","4.872","4.385","311.14K","-0.20%"
"01.09.2020","4.872","4.813","4.872","4.229","305.49K","1.21%"
"01.08.2020","4.813","4.872","5.067","4.404","816.46K","-1.20%"
"01.07.2020","4.872","4.969","5.310","4.667","409.90K","-3.85%"
"01.06.2020","5.067","4.677","5.603","4.356","3.75M","10.87%"
"01.05.2020","4.570","5.057","5.632","4.200","789.32K","-10.84%"
"01.04.2020","5.125","5.457","5.554","4.385","3.00M","-8.36%"
"01.03.2020","5.593","7.247","7.256","5.155","913.24K","-22.51%"
"01.02.2020","7.218","7.437","7.628","6.855","723.37K","-5.26%"
"01.01.2020","7.619","6.893","8.106","6.779","1.55M","9.92%"
"01.12.2019","6.931","6.779","7.017","6.530","8.03M","0.83%"
"01.11.2019","6.874","6.812","6.874","6.416","803.93K","1.76%"
"01.10.2019","6.755","7.181","7.219","6.500","4.85M","-6.05%"
"01.09.2019","7.191","6.481","7.446","6.443","7.12M","10.95%"
"01.08.2019","6.481","6.363","6.746","6.073","36.17M","1.85%"
"01.07.2019","6.363","6.447","6.644","6.017","4.79M","-4.23%"
"01.06.2019","6.644","7.467","7.467","6.316","6.42M","-11.14%"
"01.05.2019","7.477","7.339","8.197","7.164","3.27M","1.75%"
"01.04.2019","7.348","7.522","7.669","7.036","1.41M","-3.26%"
"01.03.2019","7.596","8.279","8.630","7.228","4.06M","-12.07%"
"01.02.2019","8.639","8.504","8.972","8.279","891.48K","1.69%"
"01.01.2019","8.495","8.819","8.990","8.279","1.06M","-3.77%"
"01.12.2018","8.828","8.603","9.134","7.928","2.12M","4.14%"
"01.11.2018","8.477","8.953","9.359","8.009","1.30M","-5.32%"
"01.10.2018","8.953","9.581","9.599","8.131","4.02M","-6.89%"
"01.09.2018","9.616","10.553","10.774","9.316","2.31M","-9.63%"
"01.08.2018","10.642","10.636","10.774","9.722","1.14M","0.80%"
