"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.02.2024","12.250","12.130","12.290","11.970","453.02K","0.99%"
"01.01.2024","12.130","12.270","12.320","11.500","181.31K","-1.14%"
"01.12.2023","12.270","11.000","12.410","10.850","10.07M","11.85%"
"01.11.2023","10.970","10.260","11.300","10.000","13.62M","6.50%"
"01.10.2023","10.300","10.840","10.900","10.010","4.23M","-4.98%"
"01.09.2023","10.840","11.000","11.400","10.380","6.08M","-1.00%"
"01.08.2023","10.950","11.350","11.750","10.930","11.85M","-3.69%"
"01.07.2023","11.370","11.780","11.990","11.300","5.64M","-3.48%"
"01.06.2023","11.780","11.860","12.120","11.600","17.42M","-0.76%"
"01.05.2023","11.870","12.200","12.250","11.780","5.42M","-2.78%"
"01.04.2023","12.210","12.230","12.310","12.070","3.24M","-0.16%"
"01.03.2023","12.230","12.195","12.641","12.095","5.32M","0.62%"
"01.02.2023","12.155","12.084","12.492","11.370","4.32M","0.75%"
"01.01.2023","12.065","12.193","12.301","11.996","7.03M","-1.05%"
"01.12.2022","12.193","11.970","12.842","11.881","3.44M","1.95%"
"01.11.2022","11.960","11.901","12.009","11.783","2.89M","0.58%"
"01.10.2022","11.891","11.912","12.302","11.746","4.48M","-0.18%"
"01.09.2022","11.912","11.694","12.049","11.675","5.85M","1.95%"
"01.08.2022","11.685","11.642","11.827","11.613","4.90M","0.45%"
"01.07.2022","11.633","11.720","11.739","11.584","5.70M","-0.83%"
"01.06.2022","11.730","11.688","11.814","11.446","7.99M","0.36%"
"01.05.2022","11.688","12.043","12.101","11.483","6.34M","-2.94%"
"01.04.2022","12.043","11.771","12.223","11.771","2.66M","2.31%"
"01.03.2022","11.771","11.762","12.175","11.599","4.80M","0.32%"
"01.02.2022","11.734","11.709","11.899","11.452","5.50M","0.29%"
"01.01.2022","11.699","11.608","12.194","11.476","4.60M","0.78%"
"01.12.2021","11.608","11.366","11.712","11.300","8.95M","2.04%"
"01.11.2021","11.376","11.220","11.479","11.089","3.04M","1.81%"
"01.10.2021","11.173","11.323","11.435","11.126","3.20M","-1.40%"
"01.09.2021","11.332","11.313","11.687","11.173","4.51M","0.08%"
"01.08.2021","11.323","11.220","11.519","11.042","5.29M","1.00%"
"01.07.2021","11.210","11.594","11.697","10.939","5.40M","-2.20%"
"01.06.2021","11.463","10.840","13.185","10.785","3.60M","6.20%"
"01.05.2021","10.794","10.813","11.664","10.637","4.38M","0.69%"
"01.04.2021","10.720","10.638","10.776","10.463","4.10M","2.01%"
"01.03.2021","10.509","10.748","10.978","10.334","6.50M","-1.72%"
"01.02.2021","10.692","10.652","10.766","10.032","6.43M","2.31%"
"01.01.2021","10.451","10.500","10.726","10.129","4.90M","-0.20%"
"01.12.2020","10.473","10.382","10.687","9.789","7.44M","0.18%"
"01.11.2020","10.454","9.215","10.723","8.983","5.71M","11.08%"
"01.10.2020","9.411","8.833","9.625","8.745","18.34M","6.54%"
"01.09.2020","8.833","8.737","8.913","8.404","5.42M","1.21%"
"01.08.2020","8.728","8.762","17.350","8.484","7.67M","0.81%"
"01.07.2020","8.658","8.554","8.831","7.858","4.46M","2.34%"
"01.06.2020","8.460","8.684","8.948","8.309","4.09M","-1.62%"
"01.05.2020","8.599","8.197","9.178","7.944","1.21M","6.55%"
"01.04.2020","8.071","7.451","8.240","6.765","3.48M","10.80%"
