"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.02.2024","25.50","25.50","25.50","25.50","0.10K","0.00%"
"01.01.2024","25.50","24.00","25.50","24.00","0.02K","6.25%"
"01.12.2023","24.00","24.00","24.00","24.00","0.03K","0.00%"
"01.11.2023","24.00","24.00","24.00","24.00","0.07K","0.00%"
"01.10.2023","24.00","24.00","24.00","24.00","0.10K","0.00%"
"01.09.2023","24.00","24.95","24.95","24.00","81.32K","-3.42%"
"01.08.2023","24.85","24.85","24.85","24.85","0.11K","0.00%"
"01.07.2023","24.85","24.85","24.85","24.85","0.12K","0.00%"
"01.06.2023","24.85","25.00","25.00","25.00","0.14K","-0.60%"
"01.05.2023","25.00","24.75","25.00","24.75","2.12K","0.00%"
"01.04.2023","25.00","25.00","25.00","25.00","2.27K","0.00%"
