"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.02.2024","28.69","28.50","28.70","28.50","16.13K","0.67%"
"01.01.2024","28.50","28.23","29.32","27.99","153.24K","0.96%"
"01.12.2023","28.23","27.65","28.50","26.99","1.23M","2.47%"
"01.11.2023","27.55","27.37","28.50","26.70","156.69K","-0.83%"
"01.10.2023","27.78","28.30","28.50","27.24","137.10K","-1.84%"
"01.09.2023","28.30","28.03","28.51","28.01","1.53M","0.89%"
"01.08.2023","28.05","28.99","28.99","27.95","243.44K","-1.56%"
"01.07.2023","28.49","29.43","29.43","28.09","135.53K","-5.09%"
"01.06.2023","30.02","31.80","31.80","28.89","1.59M","-6.01%"
"01.05.2023","31.94","32.22","32.76","31.94","52.97K","-1.20%"
"01.04.2023","32.33","30.93","32.33","30.93","33.31K","4.54%"
"01.03.2023","30.92","30.35","30.94","30.09","33.45K","1.55%"
"01.02.2023","30.45","28.54","30.61","28.51","252.09K","6.79%"
"01.01.2023","28.52","28.63","28.73","28.44","46.13K","-0.57%"
"01.12.2022","28.68","27.67","28.92","26.98","209.12K","3.66%"
"01.11.2022","27.67","27.42","27.96","26.99","301.20K","0.91%"
"01.10.2022","27.42","27.88","27.88","27.34","46.59K","-1.66%"
"01.09.2022","27.88","29.31","29.58","27.88","80.97K","-6.20%"
"01.08.2022","29.73","30.17","30.28","29.73","138.98K","-1.50%"
"01.07.2022","30.18","28.65","31.20","28.38","61.93K","5.17%"
"01.06.2022","28.69","27.89","28.97","27.89","133.25K","3.94%"
"01.05.2022","27.61","27.78","28.13","26.78","2.12M","0.06%"
"01.04.2022","27.59","26.90","27.78","26.44","113.87K","2.94%"
"01.03.2022","26.80","28.29","31.97","25.50","160.70K","-5.21%"
"01.02.2022","28.28","25.60","28.30","25.60","126.40K","10.87%"
"01.01.2022","25.50","23.63","26.90","23.56","317.60K","7.93%"
"01.12.2021","23.63","21.33","23.70","21.31","203.73K","10.78%"
"01.11.2021","21.33","19.98","21.33","19.96","406.43K","6.80%"
"01.10.2021","19.97","20.88","20.89","19.96","620.30K","-4.18%"
"01.09.2021","20.85","19.51","21.17","19.50","236.88K","6.84%"
"01.08.2021","19.51","19.52","19.79","19.05","242.95K","1.13%"
"01.07.2021","19.29","18.67","19.56","17.74","8.10M","3.33%"
"01.06.2021","18.67","19.56","19.56","18.62","209.08K","-3.18%"
"01.05.2021","19.28","17.47","19.56","17.47","537.87K","13.73%"
"01.04.2021","16.95","18.91","19.02","16.95","10.62M","-10.43%"
"01.03.2021","18.93","15.64","19.02","15.47","776.85K","21.67%"
"01.02.2021","15.56","15.79","16.00","15.56","375.41K","0.84%"
"01.01.2021","15.43","15.99","16.20","15.40","372.13K","-3.51%"
"01.12.2020","15.99","15.99","16.35","15.99","51.78M","0.00%"
"01.11.2020","15.99","15.77","16.09","15.56","10.84M","1.09%"
"01.10.2020","15.82","16.08","16.08","15.82","11.74M","-1.61%"
"01.09.2020","16.08","16.81","16.85","16.08","2.35M","-1.48%"
"01.08.2020","16.32","16.01","16.32","15.93","46.23K","1.95%"
"01.07.2020","16.01","16.01","16.01","16.01","15.72K","-0.05%"
"01.06.2020","16.01","16.01","16.01","16.01","1.16K","2.38%"
"01.05.2020","15.64","15.64","15.64","15.64","0.71K","0.00%"
"01.04.2020","15.64","15.64","15.64","15.64","0.38K","-2.56%"
"01.03.2020","16.05","15.29","16.05","15.29","1.01M","4.97%"
"01.02.2020","15.29","15.45","15.45","15.29","1.48M","-0.99%"
"01.01.2020","15.45","15.45","15.45","15.45","262.20K","-2.04%"
"01.12.2019","15.77","15.77","15.77","15.77","1.37K","2.72%"
"01.09.2019","15.35","15.35","15.35","15.35","2.58M","10.86%"
"01.08.2018","13.85","13.85","13.85","13.85","16.70K","0.00%"
"01.07.2018","13.85","13.85","13.85","13.85","201.18K","0.00%"
"01.06.2018","13.85","16.02","16.02","16.02","","0.00%"
"01.05.2018","13.85","16.02","16.02","16.02","","1.95%"
"01.04.2018","13.58","15.71","15.71","15.71","","0.00%"
"01.03.2018","13.58","15.71","15.71","15.71","","1.92%"
"01.02.2018","13.33","15.42","15.42","15.42","","0.00%"
"01.01.2018","13.33","15.42","15.42","15.42","","0.00%"
"01.12.2017","13.33","15.42","15.42","15.42","","0.00%"
"01.11.2017","13.33","15.42","15.42","15.42","","0.00%"
"01.10.2017","13.33","15.42","15.42","15.42","","0.00%"
"01.09.2017","13.33","15.42","15.42","15.42","","0.00%"
