"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.02.2024","6.55","6.37","6.99","6.30","7.98K","2.83%"
"01.01.2024","6.37","5.05","6.60","5.05","9.84K","26.14%"
"01.12.2023","5.05","5.15","5.50","4.85","1.11M","-1.94%"
"01.11.2023","5.15","4.99","5.40","4.87","126.58K","3.00%"
"01.10.2023","5.00","5.24","5.25","4.96","55.13K","-4.58%"
"01.09.2023","5.24","5.48","5.48","5.14","69.15K","-4.20%"
"01.08.2023","5.47","6.19","6.49","5.30","476.06K","-10.18%"
"01.07.2023","6.09","5.19","6.98","4.85","882.03K","18.02%"
"01.06.2023","5.16","5.69","6.10","4.29","1.85M","-10.73%"
"01.05.2023","5.78","6.16","6.50","5.65","408.05K","-6.17%"
"01.04.2023","6.16","6.69","6.90","5.92","213.44K","-10.24%"
"01.03.2023","6.86","7.21","7.35","6.70","244.30K","-5.44%"
"01.02.2023","7.26","7.70","7.89","6.42","185.03K","-7.89%"
"01.01.2023","7.88","8.79","9.37","7.51","178.96K","-12.79%"
"01.12.2022","9.03","6.99","9.13","6.98","688.97K","29.24%"
"01.11.2022","6.99","7.80","7.89","6.90","132.40K","-7.93%"
"01.10.2022","7.59","7.19","7.90","7.01","65.26K","5.78%"
"01.09.2022","7.18","7.48","7.92","7.15","94.58K","-5.71%"
"01.08.2022","7.61","8.22","8.36","7.42","186.37K","-8.97%"
"01.07.2022","8.36","8.70","8.89","7.95","211.51K","-5.89%"
"01.06.2022","8.89","9.28","9.58","8.16","437.11K","-5.66%"
"01.05.2022","9.42","5.78","10.02","5.78","3.24M","67.96%"
"01.04.2022","5.61","5.92","6.42","5.43","964.86K","-5.33%"
"01.03.2022","5.92","6.70","6.76","5.77","230.76K","-11.76%"
"01.02.2022","6.71","7.15","7.65","6.48","159.10K","-8.72%"
"01.01.2022","7.36","9.04","9.04","6.88","237.18K","-18.76%"
"01.12.2021","9.05","8.38","9.13","7.82","485.99K","6.63%"
"01.11.2021","8.49","9.16","9.87","8.00","474.10K","-7.33%"
"01.10.2021","9.16","12.80","14.32","8.39","596.36K","-28.51%"
"01.09.2021","12.82","11.16","14.80","11.16","212.55K","14.87%"
"01.08.2021","11.16","8.49","11.16","8.49","252.33K","32.78%"
"01.07.2021","8.40","9.18","9.18","8.29","37.92K","-9.47%"
"01.06.2021","9.28","10.32","11.36","9.28","149.10K","-10.48%"
"01.05.2021","10.37","9.58","10.86","8.44","80.90K","7.69%"
"01.04.2021","9.63","10.12","10.22","9.63","61.72K","-2.50%"
"01.03.2021","9.87","10.26","10.26","9.87","19.59K","0.10%"
"01.02.2021","9.86","10.57","10.57","9.39","20.06K","-7.16%"
"01.01.2021","10.62","10.22","10.81","9.97","26.39K","1.03%"
"01.12.2020","10.52","10.57","11.26","9.81","127.75K","0.09%"
"01.11.2020","10.51","11.21","11.75","10.38","115.57K","-7.40%"
"01.10.2020","11.35","12.84","12.84","10.27","139.50K","-9.24%"
"01.09.2020","12.50","13.33","13.33","11.06","9.90K","2.34%"
"01.08.2020","12.21","12.20","13.33","11.85","62.88K","3.08%"
"01.07.2020","11.85","11.26","12.21","11.26","65.37K","5.26%"
"01.06.2020","11.26","10.96","11.30","10.61","5.36K","-0.35%"
"01.05.2020","11.30","11.01","12.34","11.01","19.44K","0.00%"
"01.04.2020","11.30","10.86","11.30","10.36","3.41K","-0.35%"
"01.03.2020","11.34","10.86","11.36","10.36","52.36K","-8.09%"
"01.02.2020","12.33","11.36","12.34","10.91","5.14K","8.61%"
"01.01.2020","11.36","11.84","12.07","10.78","1.33M","-4.17%"
"01.12.2019","11.85","10.96","12.34","10.87","6.88M","8.11%"
"01.11.2019","10.96","11.55","11.55","10.96","4.68M","-6.72%"
"01.10.2019","11.75","12.84","13.33","11.70","336.53K","-11.85%"
"01.09.2019","13.33","12.65","13.33","12.65","2.44K","2.27%"
"01.08.2019","13.03","13.33","13.48","12.64","17.86K","-5.17%"
"01.07.2019","13.74","13.68","14.17","13.33","551.85K","-2.59%"
"01.06.2019","14.11","13.92","14.32","13.13","788.30K","5.07%"
"01.05.2019","13.43","14.07","14.32","13.43","660.11K","-2.86%"
"01.04.2019","13.82","13.72","14.71","13.32","300.22K","-6.04%"
"01.03.2019","14.71","12.84","14.71","12.84","625.09K","1.02%"
"01.02.2019","14.56","14.02","14.56","12.84","915.40K","1.03%"
"01.01.2019","14.42","14.75","14.75","14.02","10.86K","-3.31%"
"01.12.2018","14.91","13.92","14.91","13.92","5.95K","0.87%"
"01.11.2018","14.78","14.51","14.80","13.92","188.85K","-3.42%"
"01.10.2018","15.30","15.39","15.39","14.71","124.05K","-4.02%"
"01.09.2018","15.95","14.96","15.95","14.84","17.08K","5.90%"
"01.08.2018","15.06","14.56","15.06","14.32","2.38K","3.39%"
"01.07.2018","14.56","13.87","14.81","13.87","24.14K","5.73%"
"01.06.2018","13.77","12.74","13.77","12.74","1.03K","13.41%"
"01.05.2018","12.15","12.74","12.74","12.15","120.76K","-8.89%"
"01.04.2018","13.33","13.33","13.33","13.33","0.46K","-1.46%"
"01.03.2018","13.53","14.07","14.07","13.53","71.52K","-3.86%"
"01.02.2018","14.07","14.68","14.68","14.07","119.18K","-4.30%"
"01.01.2018","14.70","14.32","14.70","14.32","118.57K","-0.07%"
"01.12.2017","14.71","14.32","14.81","14.32","312.01K","0.34%"
"01.11.2017","14.66","14.81","14.82","14.32","498.05K","-1.00%"
"01.10.2017","14.81","14.81","14.81","14.81","42.28K","0.00%"
"01.09.2017","14.81","14.81","14.86","14.81","208.19K","0.07%"
"01.08.2017","14.80","14.81","14.86","14.80","107.94K","-0.40%"
"01.07.2017","14.86","14.66","14.86","14.66","1.03M","0.00%"
"01.06.2017","14.86","14.86","14.86","14.66","1.30M","0.00%"
"01.05.2017","14.86","14.86","14.86","14.86","17.27K","0.33%"
"01.04.2017","14.81","14.81","14.81","14.81","7.47K","-0.33%"
"01.03.2017","14.86","13.77","14.86","13.77","8.51M","0.13%"
"01.02.2017","14.84","14.81","14.84","14.81","6.87M","0.00%"
"01.01.2017","14.84","14.86","15.80","14.81","5.86K","-0.13%"
"01.12.2016","14.86","14.81","14.86","14.78","40.89K","0.00%"
