"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.02.2024","6.330","6.350","6.450","6.300","54.58K","-0.31%"
"01.01.2024","6.350","6.130","6.500","6.000","2.59K","3.59%"
"01.12.2023","6.130","6.090","6.200","5.900","231.37K","0.49%"
"01.11.2023","6.100","6.006","6.200","5.900","371.52K","0.00%"
"01.10.2023","6.100","6.240","6.300","6.000","297.47K","-2.24%"
"01.09.2023","6.240","5.980","6.300","5.800","11.33M","4.70%"
"01.08.2023","5.960","6.329","6.329","5.880","1.67M","-7.17%"
"01.07.2023","6.420","6.200","6.450","6.000","686.64K","3.55%"
"01.06.2023","6.200","6.110","6.350","5.500","1.26M","0.16%"
"01.05.2023","6.190","6.330","6.390","5.980","558.88K","-2.37%"
"01.04.2023","6.340","5.990","6.380","5.990","7.84M","5.67%"
"01.03.2023","6.000","5.690","6.150","5.550","5.27M","6.76%"
"01.02.2023","5.620","6.010","6.130","5.610","1.14M","-6.02%"
"01.01.2023","5.980","6.230","6.450","5.800","1.81M","-4.01%"
"01.12.2022","6.230","6.220","6.450","6.090","939.11K","-1.42%"
"01.11.2022","6.320","6.250","6.390","6.150","295.64K","0.80%"
"01.10.2022","6.270","6.400","6.450","6.090","1.53M","-2.03%"
"01.09.2022","6.400","6.300","6.400","6.090","5.77M","3.06%"
"01.08.2022","6.210","6.460","6.460","6.200","5.02M","-4.17%"
"01.07.2022","6.480","6.050","6.640","5.990","3.15M","7.11%"
"01.06.2022","6.050","6.500","6.600","5.900","3.83M","-6.92%"
"01.05.2022","6.500","6.110","6.550","5.500","1.84M","6.38%"
"01.04.2022","6.110","6.431","6.590","5.980","697.01K","-5.00%"
"01.03.2022","6.431","6.343","6.500","6.195","510.75K","1.71%"
"01.02.2022","6.323","6.441","6.490","6.068","1.33M","-1.83%"
"01.01.2022","6.441","6.540","6.707","6.264","1.45M","0.31%"
"01.12.2021","6.422","6.215","6.530","5.900","852.48K","3.65%"
"01.11.2021","6.195","5.940","6.245","5.691","1.82M","6.35%"
"01.10.2021","5.825","6.217","6.313","5.739","2.20M","-6.16%"
"01.09.2021","6.208","6.409","6.409","6.122","971.56K","-1.82%"
"01.08.2021","6.323","6.340","6.590","6.182","6.03M","-0.28%"
"01.07.2021","6.340","6.508","6.583","6.331","1.29M","-2.58%"
"01.06.2021","6.508","6.901","6.901","5.603","874.20K","-4.91%"
"01.05.2021","6.845","6.522","7.470","6.413","282.52K","7.19%"
"01.04.2021","6.386","6.486","6.522","6.294","499.16K","-2.10%"
"01.03.2021","6.522","6.639","7.115","6.246","385.28K","-1.75%"
"01.02.2021","6.639","6.335","6.656","6.067","665.44K","4.79%"
"01.01.2021","6.335","7.022","7.192","5.844","2.11M","-7.07%"
"01.12.2020","6.817","5.621","7.111","5.532","519.95K","18.45%"
"01.11.2020","5.755","5.461","6.023","5.434","425.78K","5.39%"
"01.10.2020","5.461","5.483","6.092","5.222","321.04K","-1.96%"
"01.09.2020","5.570","5.178","5.657","5.135","217.81K","6.67%"
"01.08.2020","5.222","4.781","5.378","4.781","8.16M","11.20%"
"01.07.2020","4.696","5.317","5.317","4.594","2.01M","-11.68%"
"01.06.2020","5.317","5.827","6.193","5.300","1.84M","-8.76%"
"01.05.2020","5.827","6.068","6.210","5.491","1.98M","-4.63%"
"01.04.2020","6.110","7.027","7.027","5.855","230.91K","-13.25%"
"01.03.2020","7.044","8.418","8.495","6.789","1.72M","-16.33%"
"01.02.2020","8.418","8.378","8.503","7.638","1.59M","-0.51%"
"01.01.2020","8.461","7.864","8.503","7.864","39.63M","7.94%"
"01.12.2019","7.839","7.715","7.872","7.217","5.33M","1.39%"
"01.11.2019","7.731","7.316","7.880","7.316","733.35K","5.67%"
"01.10.2019","7.316","6.761","7.880","6.752","29.47M","7.69%"
"01.09.2019","6.794","6.578","6.968","6.578","1.08M","3.67%"
"01.08.2019","6.553","7.009","7.009","6.304","398.77K","-4.17%"
"01.07.2019","6.838","6.458","6.863","6.135","1.60M","5.88%"
"01.06.2019","6.458","6.709","7.081","6.143","954.99K","-3.73%"
"01.05.2019","6.709","6.390","7.259","6.369","219.90K","2.33%"
"01.04.2019","6.556","6.161","6.659","6.082","1.00M","6.41%"
"01.03.2019","6.161","6.019","6.319","5.845","2.39M","4.70%"
"01.02.2019","5.885","6.301","6.540","5.845","3.84M","-4.98%"
"01.01.2019","6.193","6.301","6.526","6.123","1.76M","-1.84%"
"01.12.2018","6.309","6.348","6.502","6.115","3.73M","-0.49%"
"01.11.2018","6.340","6.967","6.967","6.270","15.23M","-8.59%"
"01.10.2018","6.936","7.473","7.586","6.322","2.84M","-7.56%"
"01.09.2018","7.503","7.511","7.932","7.262","5.91M","-0.10%"
"01.08.2018","7.511","7.583","7.977","7.270","1.84M","-0.19%"
"01.07.2018","7.525","6.814","7.591","6.499","10.97M","9.96%"
"01.06.2018","6.843","6.902","7.320","6.631","4.41M","1.08%"
"01.05.2018","6.770","7.786","8.030","6.748","2.12M","-13.05%"
"01.04.2018","7.786","8.015","8.366","7.550","1.56M","-2.86%"
"01.03.2018","8.015","7.636","8.037","7.379","3.30M","2.66%"
"01.02.2018","7.808","7.522","7.965","7.350","2.31M","3.90%"
"01.01.2018","7.514","7.543","7.693","7.300","3.93M","-0.57%"
"01.12.2017","7.557","8.223","8.237","7.314","3.54M","-7.69%"
"01.11.2017","8.187","8.023","8.581","8.023","2.07M","-0.55%"
"01.10.2017","8.232","7.751","8.386","7.395","11.40M","8.16%"
"01.09.2017","7.611","8.121","8.365","7.590","13.74M","-6.11%"
"01.08.2017","8.107","8.361","8.450","7.869","10.81M","-2.17%"
"01.07.2017","8.286","8.498","8.614","8.163","15.99M","-2.41%"
"01.06.2017","8.491","8.839","8.839","8.136","25.19M","-2.05%"
"01.05.2017","8.669","9.237","9.627","8.471","4.88M","-6.15%"
"01.04.2017","9.237","8.920","9.425","8.759","18.66M","3.55%"
"01.03.2017","8.920","8.771","9.250","8.518","16.59M","1.62%"
"01.02.2017","8.778","8.837","9.296","8.312","7.36M","-1.20%"
"01.01.2017","8.884","8.625","8.977","8.106","16.62M","4.21%"
"01.12.2016","8.525","8.891","9.030","8.040","21.92M","-2.58%"
"01.11.2016","8.751","10.645","10.758","8.319","18.73M","-16.96%"
"01.10.2016","10.538","10.251","10.780","9.708","8.23M","1.32%"
"01.09.2016","10.401","11.048","11.106","9.930","29.54M","-5.74%"
"01.08.2016","11.035","10.976","11.302","10.525","5.32M","-0.05%"
"01.07.2016","11.040","10.879","11.587","10.216","10.32M","4.32%"
"01.06.2016","10.583","10.390","11.137","10.145","4.70M","1.80%"
"01.05.2016","10.397","10.693","10.841","9.759","31.44M","-2.71%"
"01.04.2016","10.686","10.906","10.913","10.378","4.61M","-2.02%"
"01.03.2016","10.906","10.811","11.008","10.347","4.54M","1.30%"
"01.02.2016","10.767","10.655","11.104","10.233","10.57M","0.69%"
"01.01.2016","10.693","10.875","10.888","10.076","5.66M","-2.30%"
"01.12.2015","10.944","10.674","11.007","10.353","3.98M","3.39%"
"01.11.2015","10.586","10.661","11.007","10.353","15.37M","-0.53%"
"01.10.2015","10.642","10.548","11.265","10.359","4.62M","0.89%"
"01.09.2015","10.548","10.076","11.328","9.516","8.49M","4.82%"
"01.08.2015","10.063","10.920","11.462","9.944","19.84M","-7.74%"
"01.07.2015","10.907","10.858","11.188","10.571","13.86M","0.63%"
"01.06.2015","10.839","10.633","10.970","9.661","31.26M","1.99%"
"01.05.2015","10.627","10.789","10.964","10.596","10.03M","-2.12%"
"01.04.2015","10.858","10.789","11.213","10.689","6.83M","0.00%"
"01.03.2015","10.858","11.670","11.670","10.696","21.47M","-7.60%"
"01.02.2015","11.751","11.458","11.838","10.704","23.73M","3.57%"
"01.01.2015","11.346","11.851","11.869","10.679","6.66M","-6.71%"
"01.12.2014","12.162","11.271","12.461","10.443","8.29M","7.90%"
"01.11.2014","11.271","11.271","11.527","10.717","9.37M","0.28%"
"01.10.2014","11.240","10.904","11.396","10.343","32.51M","1.63%"
"01.09.2014","11.059","11.234","11.396","10.281","12.94M","-2.69%"
"01.08.2014","11.365","11.446","11.521","11.035","7.56M","-1.41%"
"01.07.2014","11.527","11.128","11.838","10.804","21.98M","1.93%"
"01.06.2014","11.309","10.966","11.820","10.281","14.13M","2.60%"
"01.05.2014","11.022","10.461","11.209","9.887","18.13M","5.37%"
"01.04.2014","10.461","10.479","10.560","9.794","2.51M","0.59%"
"01.03.2014","10.399","10.029","10.492","9.168","3.94M","5.50%"
"01.02.2014","9.857","9.340","10.521","8.989","4.75M","4.57%"
"01.01.2014","9.426","10.004","10.275","8.922","2.84M","-7.15%"
"01.12.2013","10.152","10.238","10.521","9.765","11.93M","-0.66%"
"01.11.2013","10.220","9.489","10.761","9.366","18.35M","5.73%"
"01.10.2013","9.666","9.440","9.789","8.693","8.63M","2.40%"
"01.09.2013","9.440","10.407","10.407","9.433","10.09M","-9.29%"
"01.08.2013","10.407","10.652","10.731","9.795","27.26M","-2.58%"
