"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.02.2024","29.63","29.26","30.28","29.18","5.11M","1.26%"
"01.01.2024","29.26","30.57","30.95","28.42","7.24M","-4.29%"
"01.12.2023","30.57","28.05","31.00","27.77","102.37M","9.37%"
"01.11.2023","27.95","27.43","30.50","26.98","149.98M","2.12%"
"01.10.2023","27.37","29.08","29.66","26.75","158.60M","-5.78%"
"01.09.2023","29.05","24.95","29.86","23.99","197.27M","16.95%"
"01.08.2023","24.84","25.16","26.35","24.52","137.75M","-1.27%"
"01.07.2023","25.16","25.00","25.50","24.22","102.18M","0.64%"
"01.06.2023","25.00","25.51","26.26","24.04","116.14M","-2.65%"
"01.05.2023","25.68","24.78","25.95","23.31","129.52M","3.38%"
"01.04.2023","24.84","25.19","25.55","23.80","103.62M","-1.31%"
"01.03.2023","25.17","26.49","26.50","23.28","154.61M","-3.42%"
"01.02.2023","26.06","25.59","27.22","24.15","119.14M","2.20%"
"01.01.2023","25.50","23.08","26.10","23.08","133.58M","11.06%"
"01.12.2022","22.96","24.08","24.67","22.86","123.59M","-4.21%"
"01.11.2022","23.97","23.13","24.49","22.88","103.27M","3.68%"
"01.10.2022","23.12","20.91","23.22","20.45","100.13M","11.53%"
"01.09.2022","20.73","21.00","22.84","20.01","114.14M","-1.71%"
"01.08.2022","21.09","20.82","21.73","19.98","146.79M","1.35%"
"01.07.2022","20.81","20.00","21.65","20.00","125.93M","3.89%"
"01.06.2022","20.03","20.77","20.77","18.40","215.67M","-3.61%"
"01.05.2022","20.78","22.00","23.16","20.10","249.73M","-5.04%"
"01.04.2022","21.88","22.78","24.10","21.46","156.36M","-3.95%"
"01.03.2022","22.78","22.45","23.62","20.53","160.44M","0.95%"
"01.02.2022","22.57","21.39","22.84","20.17","120.27M","8.87%"
"01.01.2022","20.73","21.23","22.42","19.26","121.15M","-2.03%"
"01.12.2021","21.16","19.36","21.32","19.08","105.11M","9.85%"
"01.11.2021","19.26","19.94","20.73","18.58","126.90M","-3.37%"
"01.10.2021","19.94","22.89","22.89","19.47","171.20M","-12.56%"
"01.09.2021","22.80","22.11","23.12","20.70","99.57M","2.41%"
"01.08.2021","22.26","21.01","22.57","20.25","114.74M","5.86%"
"01.07.2021","21.03","20.87","21.59","20.42","215.55M","0.79%"
"01.06.2021","20.87","22.53","22.99","20.55","177.40M","-8.89%"
"01.05.2021","22.90","23.73","24.50","21.48","101.07M","-5.08%"
"01.04.2021","24.13","23.37","24.60","22.86","148.95M","4.69%"
"01.03.2021","23.05","22.92","23.93","22.55","162.44M","0.97%"
"01.02.2021","22.83","22.18","23.64","21.81","146.25M","3.36%"
"01.01.2021","22.08","21.89","23.12","20.71","141.07M","1.73%"
"01.12.2020","21.71","19.44","22.54","19.01","168.58M","11.94%"
"01.11.2020","19.39","15.38","19.78","15.14","252.31M","27.17%"
"01.10.2020","15.25","16.60","16.91","14.95","174.58M","-8.12%"
"01.09.2020","16.60","16.25","16.70","15.20","300.88M","2.40%"
"01.08.2020","16.21","16.95","18.32","15.94","182.19M","-4.12%"
"01.07.2020","16.90","17.16","17.47","15.52","174.61M","-1.64%"
"01.06.2020","17.19","15.89","21.05","15.79","248.81M","7.92%"
"01.05.2020","15.92","18.30","18.71","15.83","141.68M","-13.14%"
"01.04.2020","18.33","16.86","22.26","15.93","163.87M","6.35%"
"01.03.2020","17.24","27.49","29.67","14.18","322.54M","-37.17%"
"01.02.2020","27.44","28.55","29.87","25.52","145.15M","-3.73%"
"01.01.2020","28.50","27.11","30.32","26.95","195.76M","5.87%"
"01.12.2019","26.92","27.68","27.68","25.79","152.55M","-1.94%"
"01.11.2019","27.45","26.54","28.94","26.03","161.79M","3.25%"
"01.10.2019","26.59","26.39","29.03","25.93","194.29M","1.32%"
"01.09.2019","26.24","25.00","27.02","24.51","152.82M","4.15%"
"01.08.2019","25.20","22.14","25.47","21.11","159.94M","13.51%"
"01.07.2019","22.20","23.06","23.21","21.36","117.51M","-3.11%"
"01.06.2019","22.91","22.75","24.04","21.97","100.88M","1.07%"
"01.05.2019","22.67","25.09","25.09","21.23","163.49M","-10.44%"
"01.04.2019","25.31","24.07","25.55","23.37","131.03M","5.37%"
"01.03.2019","24.02","23.89","25.17","23.32","129.56M","0.52%"
"01.02.2019","23.89","23.36","24.34","22.50","113.12M","2.54%"
"01.01.2019","23.30","19.22","23.66","19.14","168.08M","20.15%"
"01.12.2018","19.39","18.43","19.98","18.26","120.24M","6.02%"
"01.11.2018","18.29","19.23","20.64","17.97","190.80M","-4.38%"
"01.10.2018","19.13","21.64","22.49","18.76","261.31M","-11.30%"
"01.09.2018","21.57","22.04","22.20","20.68","300.86M","-1.80%"
"01.08.2018","21.96","23.58","23.84","21.47","174.42M","-6.63%"
"01.07.2018","23.52","25.18","25.67","23.15","124.81M","-6.93%"
"01.06.2018","25.28","24.16","25.57","23.33","196.48M","4.76%"
"01.05.2018","24.13","27.20","27.52","23.72","137.96M","-11.11%"
"01.04.2018","27.14","24.07","27.98","23.59","110.65M","13.19%"
"01.03.2018","23.98","24.01","24.98","23.07","134.17M","2.93%"
"01.02.2018","23.30","25.69","25.82","23.06","116.19M","-8.67%"
"01.01.2018","25.51","25.51","26.00","24.46","112.44M","0.51%"
"01.12.2017","25.38","25.36","25.66","24.30","120.98M","0.07%"
"01.11.2017","25.36","26.33","26.94","24.52","134.36M","-3.48%"
"01.10.2017","26.27","26.79","28.31","25.86","310.30M","-1.79%"
"01.09.2017","26.75","27.83","28.35","26.19","193.08M","-3.67%"
"01.08.2017","27.77","28.89","29.59","27.27","88.70M","-3.07%"
"01.07.2017","28.65","30.11","30.26","28.32","71.05M","-4.42%"
"01.06.2017","29.97","29.58","30.48","28.66","113.29M","4.15%"
"01.05.2017","28.78","28.63","30.99","27.95","133.02M","0.52%"
"01.04.2017","28.63","28.05","28.82","27.03","148.36M","2.49%"
"01.03.2017","27.94","25.38","28.29","25.24","229.28M","10.39%"
"01.02.2017","25.31","25.72","26.70","24.61","307.38M","-0.86%"
"01.01.2017","25.53","27.29","27.73","23.64","137.38M","-6.11%"
"01.12.2016","27.19","27.39","28.70","26.54","185.69M","-0.03%"
"01.11.2016","27.20","30.48","31.46","24.11","189.47M","-10.93%"
"01.10.2016","30.53","30.05","31.10","29.71","110.38M","1.84%"
"01.09.2016","29.98","31.20","32.59","29.63","142.49M","-2.59%"
"01.08.2016","30.78","32.03","33.26","30.46","156.18M","-3.89%"
"01.07.2016","32.03","32.66","33.12","31.11","136.60M","-1.60%"
"01.06.2016","32.54","33.09","33.91","30.77","94.66M","-2.75%"
"01.05.2016","33.47","34.18","34.34","31.99","205.02M","-2.27%"
"01.04.2016","34.24","33.47","35.11","32.60","106.79M","1.99%"
"01.03.2016","33.57","31.27","34.13","30.69","203.98M","6.16%"
"01.02.2016","31.63","30.42","32.00","28.84","130.70M","4.04%"
"01.01.2016","30.40","31.77","32.52","28.56","125.08M","-4.29%"
"01.12.2015","31.76","32.30","32.48","29.84","89.27M","-1.35%"
"01.11.2015","32.19","30.06","33.03","28.76","102.61M","7.41%"
"01.10.2015","29.97","28.28","30.86","28.25","83.81M","3.92%"
"01.09.2015","28.84","29.58","30.97","27.84","126.32M","-2.73%"
"01.08.2015","29.65","31.81","32.18","26.44","119.77M","-7.26%"
"01.07.2015","31.97","30.83","32.38","30.80","119.06M","3.73%"
"01.06.2015","30.82","32.18","32.52","29.77","189.97M","-5.02%"
"01.05.2015","32.45","31.64","33.14","31.64","151.33M","2.61%"
"01.04.2015","31.62","33.63","34.33","31.12","129.09M","-5.27%"
"01.03.2015","33.38","34.64","35.60","32.63","224.67M","-3.63%"
"01.02.2015","34.64","37.18","38.24","34.47","93.86M","-7.23%"
"01.01.2015","37.34","36.09","37.68","33.95","87.62M","3.96%"
"01.12.2014","35.92","38.65","38.65","32.96","147.63M","-7.05%"
"01.11.2014","38.65","38.66","39.98","37.80","152.35M","-0.04%"
"01.10.2014","38.66","36.60","38.83","35.33","154.13M","5.86%"
"01.09.2014","36.52","38.72","39.47","35.95","160.86M","-5.84%"
"01.08.2014","38.79","38.25","39.77","38.25","206.67M","1.05%"
"01.07.2014","38.38","37.40","39.20","35.49","141.94M","2.63%"
"01.06.2014","37.40","32.61","37.66","32.61","531.53M","15.16%"
"01.05.2014","32.48","35.27","35.44","32.40","95.35M","-8.03%"
"01.04.2014","35.31","34.71","35.46","32.76","78.46M","1.21%"
"01.03.2014","34.89","34.33","37.34","32.89","172.68M","0.62%"
"01.02.2014","34.67","35.67","35.94","34.04","62.42M","-2.80%"
"01.01.2014","35.67","35.04","37.88","34.71","101.79M","3.25%"
