"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.01.2024","25.27","24.57","25.27","24.57","0.36K","2.87%"
"01.12.2023","24.57","24.57","24.57","24.57","2.28K","-2.71%"
"01.11.2023","25.25","25.25","25.25","25.25","0.90K","0.00%"
"01.10.2023","25.25","25.40","25.40","25.25","1.70K","1.62%"
"01.07.2023","24.85","24.85","24.85","24.85","0.63K","-1.63%"
"01.06.2023","25.26","25.45","25.45","25.26","1.37K","-0.94%"
"01.05.2023","25.50","25.04","25.50","25.04","0.95K","0.00%"
"01.03.2023","25.50","25.50","25.50","25.50","0.49K","0.64%"
"01.08.2022","25.34","25.34","25.34","25.34","0.20K","1.88%"
"01.09.2021","24.87","24.87","24.87","24.87","427.43K","-8.54%"
"01.12.2020","27.19","24.98","27.19","24.98","190.05K","3.82%"
"01.01.2020","26.19","26.25","26.25","26.19","87.02K","-0.34%"
"01.12.2019","26.28","26.28","26.28","26.28","147.46K","0.00%"
"01.04.2019","26.28","26.28","26.28","26.28","43.54K","6.74%"
"01.07.2018","24.62","24.53","24.62","24.53","16.28K","-1.36%"
"01.05.2018","24.96","24.96","24.96","24.96","7.50K","0.00%"
"01.04.2018","24.96","24.96","24.96","24.96","22.50K","0.00%"
"01.03.2018","24.96","24.96","24.96","24.96","27.36K","0.00%"
"01.01.2018","24.96","24.96","24.96","24.96","0.49K","0.00%"
"01.12.2017","24.96","24.96","24.96","24.96","1.43M","0.00%"
"01.11.2017","24.96","24.96","24.96","24.96","2.47K","1.67%"
"01.09.2017","24.55","22.47","24.71","22.47","3.35K","-0.65%"
"01.08.2017","24.71","24.71","24.71","24.71","0.02K","0.00%"
"01.07.2017","24.71","24.71","24.71","24.71","0.11K","0.00%"
"01.06.2017","24.71","24.71","24.71","24.71","116.66K","0.00%"
"01.05.2017","24.71","24.71","24.71","24.71","3.04K","0.00%"
"01.04.2017","24.71","24.71","24.71","24.71","18.02K","-0.04%"
"01.03.2017","24.72","24.72","24.72","24.72","351.17K","0.00%"
"01.02.2017","24.72","24.71","24.72","23.97","27.13K","-0.16%"
"01.01.2017","24.76","24.76","24.76","24.76","3.36M","0.16%"
"01.11.2016","24.72","25.15","25.15","24.72","1.19M","-1.63%"
