"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.02.2024","17.84","17.85","17.85","17.84","1.00K","-0.06%"
"01.01.2024","17.85","17.45","17.89","17.40","3.51K","2.29%"
"01.12.2023","17.45","16.70","17.45","16.60","141.43K","3.87%"
"01.11.2023","16.80","16.80","17.50","16.40","65.64K","-4.00%"
"01.10.2023","17.50","17.50","17.94","16.60","64.23K","-1.41%"
"01.09.2023","17.75","17.75","18.00","17.60","19.48K","-1.39%"
"01.08.2023","18.00","17.40","18.00","17.00","87.24K","3.45%"
"01.07.2023","17.40","17.25","17.69","17.00","20.60K","0.29%"
"01.06.2023","17.35","17.25","17.50","17.10","131.48K","0.58%"
"01.05.2023","17.25","17.25","17.25","17.02","41.93K","0.00%"
"01.04.2023","17.25","17.65","17.65","17.25","10.71K","-3.09%"
"01.03.2023","17.80","17.77","18.00","16.80","20.55K","3.19%"
"01.02.2023","17.25","17.25","17.25","17.25","29.07K","0.00%"
"01.01.2023","17.25","17.25","17.25","17.25","7.63K","0.00%"
"01.12.2022","17.25","17.20","17.25","17.20","10.09K","0.00%"
"01.11.2022","17.25","16.50","17.25","16.10","56.05K","4.55%"
"01.10.2022","16.50","15.80","16.50","15.80","10.95K","4.50%"
"01.09.2022","15.79","15.79","15.79","15.79","0.31K","-0.06%"
"01.08.2022","15.80","15.98","15.98","15.50","64.82K","-1.25%"
"01.07.2022","16.00","16.04","16.04","16.00","27.47K","-0.68%"
"01.06.2022","16.11","16.12","16.12","16.11","21.98K","-0.12%"
"01.05.2022","16.13","16.14","16.14","16.13","57.34K","-0.06%"
"01.04.2022","16.14","16.14","16.14","16.13","34.39K","-0.06%"
"01.03.2022","16.15","16.15","16.15","16.13","76.36K","0.00%"
"01.02.2022","16.15","16.15","16.15","16.15","0.88K","0.00%"
"01.01.2022","16.15","16.15","16.15","16.15","9.80K","1.25%"
"01.12.2021","15.95","15.39","15.95","15.39","10.00K","3.64%"
"01.11.2021","15.39","15.39","15.39","15.39","7.10K","-0.06%"
"01.10.2021","15.40","15.45","15.52","15.40","12.30K","-0.77%"
"01.09.2021","15.52","15.59","15.80","15.52","7.81K","0.06%"
"01.08.2021","15.51","15.90","16.00","15.00","41.28K","-2.21%"
"01.07.2021","15.86","15.99","15.99","15.51","5.47K","-0.81%"
"01.06.2021","15.99","15.90","16.00","15.90","17.92K","-0.06%"
"01.05.2021","16.00","15.95","16.10","15.20","34.53K","0.00%"
"01.04.2021","16.00","15.80","16.00","15.80","8.73K","3.90%"
"01.03.2021","15.40","15.25","15.40","15.00","281.83K","0.65%"
"01.02.2021","15.30","15.30","15.30","15.28","7.07K","0.00%"
"01.01.2021","15.30","15.30","15.30","15.29","22.17K","-0.33%"
"01.12.2020","15.35","15.40","15.40","15.35","13.75K","0.00%"
"01.11.2020","15.35","15.35","15.35","15.35","6.34K","-0.32%"
"01.10.2020","15.40","15.40","15.40","15.40","2.64K","0.00%"
"01.08.2020","15.40","15.40","15.40","15.40","253.76K","0.00%"
"01.07.2020","15.40","15.40","15.40","15.40","2.19K","-0.06%"
"01.06.2020","15.41","15.40","15.41","15.40","17.20K","0.06%"
"01.05.2020","15.40","15.39","15.40","15.39","14.35K","0.00%"
"01.04.2020","15.40","15.40","15.40","15.40","0.25K","0.00%"
"01.02.2020","15.40","15.40","15.40","15.40","17.44K","0.00%"
"01.01.2020","15.40","15.40","15.40","15.40","8.32K","0.00%"
"01.12.2019","15.40","15.40","15.40","15.40","6.52K","0.00%"
"01.11.2019","15.40","15.40","15.40","15.40","1.16K","0.00%"
"01.10.2019","15.40","15.20","15.40","15.20","12.35K","-0.65%"
"01.09.2019","15.50","15.20","15.50","15.20","2.74K","1.31%"
"01.08.2019","15.30","15.30","15.30","15.30","0.35K","-0.65%"
"01.06.2019","15.40","15.40","15.40","15.40","465.14K","0.00%"
"01.05.2019","15.40","15.43","15.44","15.40","128.65K","-0.26%"
"01.04.2019","15.44","15.44","15.44","15.44","18.48K","0.00%"
"01.03.2019","15.44","14.94","15.44","14.49","20.58K","0.26%"
"01.01.2019","15.40","15.40","15.40","15.40","0.36K","0.06%"
"01.10.2018","15.39","15.69","15.69","15.39","136.05K","-0.65%"
"01.09.2018","15.49","15.69","15.69","15.49","6.56K","-1.27%"
