"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.02.2024","37.620","36.870","37.990","36.870","449.51K","2.03%"
"01.01.2024","36.870","36.130","38.330","34.230","994.28K","2.05%"
"01.12.2023","36.130","31.130","37.280","31.030","12.40M","16.17%"
"01.11.2023","31.100","29.260","33.550","29.250","22.47M","6.29%"
"01.10.2023","29.260","30.810","31.480","28.350","35.43M","-5.31%"
"01.09.2023","30.900","32.130","33.580","30.630","20.20M","-3.44%"
"01.08.2023","32.000","34.050","34.170","31.310","12.80M","-6.02%"
"01.07.2023","34.050","32.980","34.920","32.620","12.40M","3.65%"
"01.06.2023","32.850","32.180","34.410","31.500","13.26M","2.11%"
"01.05.2023","32.170","33.650","33.970","30.400","18.48M","-4.54%"
"01.04.2023","33.700","33.260","34.950","32.510","17.62M","1.35%"
"01.03.2023","33.250","33.990","34.710","30.850","15.21M","-1.42%"
"01.02.2023","33.730","31.990","35.550","31.710","21.65M","5.51%"
"01.01.2023","31.970","28.100","32.200","27.920","20.65M","14.14%"
"01.12.2022","28.010","28.040","29.160","27.300","14.19M","0.11%"
"01.11.2022","27.980","27.950","28.680","27.300","27.85M","0.79%"
"01.10.2022","27.760","26.730","28.690","25.690","20.89M","3.85%"
"01.09.2022","26.730","27.000","27.640","25.110","11.89M","-0.89%"
"01.08.2022","26.970","29.180","29.280","26.430","13.04M","-7.00%"
"01.07.2022","29.000","26.990","29.480","25.860","11.54M","7.89%"
"01.06.2022","26.880","29.400","29.680","25.380","18.37M","-8.73%"
"01.05.2022","29.450","27.540","29.680","25.520","11.04M","8.79%"
"01.04.2022","27.070","28.180","29.380","26.400","6.56M","-3.36%"
"01.03.2022","28.010","26.652","29.210","25.116","17.60M","5.49%"
"01.02.2022","26.553","28.541","29.309","24.339","12.48M","-6.55%"
"01.01.2022","28.413","28.541","29.043","26.573","12.98M","0.70%"
"01.12.2021","28.217","25.540","28.620","24.880","11.50M","11.51%"
"01.11.2021","25.303","28.472","28.551","24.880","8.60M","-10.85%"
"01.10.2021","28.384","29.703","30.244","28.039","12.89M","-4.44%"
"01.09.2021","29.703","30.943","31.395","28.354","11.38M","-4.76%"
"01.08.2021","31.189","31.021","31.395","29.142","12.82M","0.70%"
"01.07.2021","30.972","30.106","31.681","29.594","10.36M","4.00%"
"01.06.2021","29.781","30.283","31.819","29.417","17.04M","-1.40%"
